Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-01-21,Come Together,2016,https://boxd.it/5DV4Kn,2,,,2024-01-20
2024-02-29,Tenet,2020,https://boxd.it/5Whkwd,5,Yes,"theater, regal, imax, 70mm, kerrigan",2024-02-28
2024-02-29,Tenet,2020,https://boxd.it/5Whlg1,5,Yes,"theater, regal, kerrigan, imax, 70mm",2024-02-28
2024-05-28,Furiosa: A Mad Max Saga,2024,https://boxd.it/6yQucf,3,,"theater, regal",2024-05-27
2024-05-28,Tusk,2014,https://boxd.it/6z1Mmz,4,Yes,"theater, frida, kerrigan",2024-05-27
